epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202118,2021-05-05,332,PR,Rio Azul,4122008,city,533,3475.48252,5,8,1,0.015,15336,True,False
202118,2021-05-04,331,PR,Rio Azul,4122008,city,528,3442.8795,15,7,0,0.0133,15336,False,False
202118,2021-05-03,330,PR,Rio Azul,4122008,city,513,3345.07042,8,7,0,0.0136,15336,False,False
202118,2021-05-02,329,PR,Rio Azul,4122008,city,505,3292.90558,13,7,0,0.0139,15336,False,False
202117,2021-05-01,328,PR,Rio Azul,4122008,city,492,3208.13772,9,7,0,0.0142,15336,False,False
202117,2021-04-30,327,PR,Rio Azul,4122008,city,483,3149.45227,7,7,0,0.0145,15336,False,False
202117,2021-04-29,326,PR,Rio Azul,4122008,city,476,3103.80803,15,7,0,0.0147,15336,False,False
202117,2021-04-28,325,PR,Rio Azul,4122008,city,461,3005.99896,3,7,0,0.0152,15336,False,False
202117,2021-04-27,324,PR,Rio Azul,4122008,city,458,2986.43714,1,7,0,0.0153,15336,False,False
202117,2021-04-26,323,PR,Rio Azul,4122008,city,457,2979.91654,8,7,0,0.0153,15336,False,False
202117,2021-04-25,322,PR,Rio Azul,4122008,city,449,2927.7517,7,7,0,0.0156,15336,False,False
202116,2021-04-24,321,PR,Rio Azul,4122008,city,442,2882.10746,2,7,0,0.0158,15336,False,False
202116,2021-04-23,320,PR,Rio Azul,4122008,city,440,2869.06625,0,7,0,0.0159,15336,False,False
202116,2021-04-22,319,PR,Rio Azul,4122008,city,440,2869.06625,4,7,0,0.0159,15336,False,False
202116,2021-04-21,318,PR,Rio Azul,4122008,city,436,2842.98383,4,7,0,0.0161,15336,False,False
202116,2021-04-20,317,PR,Rio Azul,4122008,city,432,2816.90141,1,7,1,0.0162,15336,False,False
202116,2021-04-19,316,PR,Rio Azul,4122008,city,431,2810.3808,8,6,0,0.0139,15336,False,False
202116,2021-04-18,315,PR,Rio Azul,4122008,city,423,2758.21596,0,6,0,0.0142,15336,False,False
202115,2021-04-17,314,PR,Rio Azul,4122008,city,423,2758.21596,6,6,0,0.0142,15336,False,False
202115,2021-04-16,313,PR,Rio Azul,4122008,city,417,2719.09233,4,6,0,0.0144,15336,False,False
202115,2021-04-15,312,PR,Rio Azul,4122008,city,413,2693.00991,6,6,0,0.0145,15336,False,False
202115,2021-04-14,311,PR,Rio Azul,4122008,city,407,2653.88628,0,6,0,0.0147,15336,False,False
202115,2021-04-13,310,PR,Rio Azul,4122008,city,407,2653.88628,6,6,0,0.0147,15336,False,False
202115,2021-04-12,309,PR,Rio Azul,4122008,city,401,2614.76265,0,6,0,0.015,15336,False,False
202115,2021-04-11,308,PR,Rio Azul,4122008,city,401,2614.76265,3,6,0,0.015,15336,False,False
202114,2021-04-10,307,PR,Rio Azul,4122008,city,398,2595.20083,0,6,0,0.0151,15336,False,False
202114,2021-04-09,306,PR,Rio Azul,4122008,city,398,2595.20083,2,6,0,0.0151,15336,False,False
202114,2021-04-08,305,PR,Rio Azul,4122008,city,396,2582.15962,1,6,1,0.0152,15336,False,False
202114,2021-04-07,304,PR,Rio Azul,4122008,city,395,2575.63902,2,5,0,0.0127,15336,False,False
202114,2021-04-06,303,PR,Rio Azul,4122008,city,393,2562.59781,2,5,1,0.0127,15336,False,False
202114,2021-04-05,302,PR,Rio Azul,4122008,city,391,2549.5566,6,4,0,0.0102,15336,False,False
202114,2021-04-04,301,PR,Rio Azul,4122008,city,385,2510.43297,1,4,0,0.0104,15336,False,False
202113,2021-04-03,300,PR,Rio Azul,4122008,city,384,2503.91236,3,4,0,0.0104,15336,False,False
202113,2021-04-02,299,PR,Rio Azul,4122008,city,381,2484.35055,6,4,0,0.0105,15336,False,False
202113,2021-04-01,298,PR,Rio Azul,4122008,city,375,2445.22692,6,4,0,0.0107,15336,False,False
202113,2021-03-31,297,PR,Rio Azul,4122008,city,369,2406.10329,0,4,0,0.0108,15336,False,False
202113,2021-03-30,296,PR,Rio Azul,4122008,city,369,2406.10329,4,4,0,0.0108,15336,False,False
202113,2021-03-29,295,PR,Rio Azul,4122008,city,365,2380.02087,7,4,0,0.011,15336,False,False
202113,2021-03-28,294,PR,Rio Azul,4122008,city,358,2334.37663,4,4,0,0.0112,15336,False,False
202112,2021-03-27,293,PR,Rio Azul,4122008,city,354,2308.29421,9,4,0,0.0113,15336,False,False
202112,2021-03-26,292,PR,Rio Azul,4122008,city,345,2249.60876,1,4,0,0.0116,15336,False,False
202112,2021-03-25,291,PR,Rio Azul,4122008,city,344,2243.08816,0,4,0,0.0116,15336,False,False
202112,2021-03-24,290,PR,Rio Azul,4122008,city,344,2243.08816,2,4,0,0.0116,15336,False,False
