Data,Novos,Ativos,Confirmados,Obitos
2021-03-18,8,45,298,04
2021-03-19,3,44,301,04
2021-03-20,7,46,308,04
2021-03-21,1,42,309,04
2021-03-22,8,46,317,04
2021-03-23,9,51,326,04
2021-03-24,2,42,328,04
2021-03-25,2,32,329,4
2021-03-26,7,33,336,4
2021-03-27,2,35,338,4
2021-03-28,6,39,344,4
2021-03-29,3,29,347,4
2021-03-30,4,28,351,4
2021-03-31,5,29,356,4
2021-04-01,4,30,360,4
2021-04-02,4,31,364,4
2021-04-04,5,29,372,5
2021-04-05,1,27,373,5
2021-04-06,1,25,374,5
2021-04-07,4,26,378,5
2021-04-08,1,21,379,6
2021-04-09,0,20,379,6
2021-04-10,2,19,381,7
2021-04-11,2,20,383,7
2021-04-12,2,17,385,7
2021-04-13,2,17,387,7
2021-04-14,6,21,393,7
2021-04-15,0,20,393,7
2021-04-16,4,21,397,7
2021-04-17,5,25,402,7
2021-04-18,2,27,404,7
2021-04-19,5,29,412,7
2021-04-20,0,27,412,7
2021-04-22,0,31,422,7
2021-04-23,0,27,422,7
2021-04-24,7,33,429,7
2021-04-26,7,32,439,7
2021-04-27,1,30,440,7
2021-04-28,23,48,463,7
2021-04-29,10,54,473,7
2021-05-01,12,66,491,7
2021-05-02,8,70,499,7
2021-05-03,16,81,515,7
2021-05-05,20,99,539,8
2021-05-06,22,116,561,8
2021-05-07,13,116,574,9
2021-05-08,11,122,585,9
2021-05-10,39,141,638,11
2021-05-11,8,143,646,11
2021-05-12,35,165,681,11
2021-05-13,71,225,752,11
2021-05-14,22,237,774,11
2021-05-15,37,257,811,11
2021-05-16,28,274,839,12
2021-05-17,51,307,890,12
2021-05-18,27,312,915,12
2021-05-19,31,291,929,12
2021-05-20,35,293,963,12
2021-05-21,32,282,987,12
2021-05-22,24,263,1011,14
2021-05-23,24,256,1035,14
2021-05-24,18,228,1053,14
2021-05-25,41,234,1094,15
2021-05-26,22,229,1116,6
2021-05-27,20,218,1136,17
2021-05-28,7,197,1143,17
2021-05-29,13,199,1156,18
2021-05-30,13,163,1169,18
2021-05-31,18,148,1187,18
2021-06-01,15,135,1202,18
2021-06-02,4,137,1206,18
2021-06-03,1,113,1207,18
2021-06-04,28,111,1236,18
2021-06-05,4,104,1241,18
2021-06-06,1,89,1242,18
2021-06-07,8,80,1250,18
2021-06-08,5,76,1255,19
2021-06-09,03,68,1258,19
2021-06-10,06,66,1264,19
2021-06-11,05,63,1269,19
2021-06-14,06,35,1277,20
2021-06-13,02,37,1271,20
2021-06-15,00,28,1277,21
2021-07-08,00,05,1297,22
2021-07-09,00,05,1297,22
2021-07-11,01,02,1298,22
2021-07-12,00,02,1298,22
2021-07-13,01,03,1299,22
2021-07-15,03,06,1302,22
2021-07-16,00,05,1302,22
2021-07-19,01,06,1303,22
2021-07-20,00,05,1303,22
2021-07-21,00,04,1303,22
2021-07-22,00,04,1303,22
2021-07-23,00,04,1303,22
2021-07-26,01,01,1303,22
2021-07-27,00,01,1303,22
2021-07-28,04,05,1307,22
2021-07-29,00,05,1307,22
2021-08-02,08,14,1316,22
2021-08-03,00,14,1316,22
2021-08-04,05,19,1321,22
2021-08-05,02,21,1323,22
2021-08-06,03,24,1326,22

2021-08-09,03,22,1329,22
2021-08-10,01,23,1330,22
2021-08-11,02,22,1332,22
